n,k,B,qb,L,total_ms,per_qp_ns,levels...
512,51,8,256,7,0.184,719.6,1:32:16:0:25:0:0:0:1:8:8,2:16:32:1:64:0:0:21:0:23:23,2:8:54:1:128:0:0:0:0:54:54,2:4:54:1:128:0:0:0:0:54:54,2:2:54:1:128:0:0:0:0:54:54,2:1:54:1:128:0:0:0:0:54:54
512,128,8,256,7,0.192,748.2,1:32:16:0:25:0:0:0:1:8:8,2:16:32:1:64:0:0:0:1:23:23,2:8:64:1:128:0:0:0:1:54:54,2:4:128:1:256:0:0:0:0:117:117,2:2:128:1:256:0:0:0:0:128:128,2:1:128:1:256:0:0:0:0:128:128
512,256,8,256,7,0.194,759.7,1:32:16:0:25:0:0:0:1:8:8,2:16:32:1:64:0:0:0:1:23:23,2:8:64:1:128:0:0:0:1:54:54,2:4:128:1:256:0:0:0:1:117:117,2:2:256:1:512:0:0:0:0:244:244,2:1:256:1:512:0:0:0:0:256:256
512,512,8,256,7,0.200,779.6,1:32:16:0:25:0:0:0:1:8:8,2:16:32:1:64:0:0:0:1:23:23,2:8:64:1:128:0:0:0:1:54:54,2:4:128:1:256:0:0:0:1:117:117,2:2:256:1:512:0:0:0:1:244:244,2:1:512:1:1024:0:0:0:0:499:499
512,51,16,256,6,0.171,667.8,2:16:32:1:64:0:0:14:0:16:16,2:8:54:1:128:0:0:0:0:47:47,2:4:54:1:128:0:0:0:0:54:54,2:2:54:1:128:0:0:0:0:54:54,2:1:54:1:128:0:0:0:0:54:54
512,128,16,256,6,0.171,669.0,2:16:32:1:64:0:0:0:1:16:16,2:8:64:1:128:0:0:0:1:47:47,2:4:128:1:256:0:0:0:0:110:110,2:2:128:1:256:0:0:0:0:128:128,2:1:128:1:256:0:0:0:0:128:128
512,256,16,256,6,0.179,699.4,2:16:32:1:64:0:0:0:1:16:16,2:8:64:1:128:0:0:0:1:47:47,2:4:128:1:256:0:0:0:1:110:110,2:2:256:1:512:0:0:0:0:237:237,2:1:256:1:512:0:0:0:0:256:256
512,512,16,256,6,0.182,709.9,2:16:32:1:64:0:0:0:1:16:16,2:8:64:1:128:0:0:0:1:47:47,2:4:128:1:256:0:0:0:1:110:110,2:2:256:1:512:0:0:0:1:237:237,2:1:512:1:1024:0:0:0:0:492:492
512,51,32,256,5,0.156,608.5,2:8:54:1:128:0:0:0:0:32:32,2:4:54:1:128:0:0:0:0:54:54,2:2:54:1:128:0:0:0:0:54:54,2:1:54:1:128:0:0:0:0:54:54
512,128,32,256,5,0.156,610.8,2:8:64:1:128:0:0:0:1:32:32,2:4:128:1:256:0:0:0:0:95:95,2:2:128:1:256:0:0:0:0:128:128,2:1:128:1:256:0:0:0:0:128:128
512,256,32,256,5,0.162,632.1,2:8:64:1:128:0:0:0:1:32:32,2:4:128:1:256:0:0:0:1:95:95,2:2:256:1:512:0:0:0:0:222:222,2:1:256:1:512:0:0:0:0:256:256
512,512,32,256,5,0.169,658.6,2:8:64:1:128:0:0:0:1:32:32,2:4:128:1:256:0:0:0:1:95:95,2:2:256:1:512:0:0:0:1:222:222,2:1:512:1:1024:0:0:0:0:477:477
512,128,64,256,4,0.147,574.9,2:4:128:1:256:0:0:0:0:64:64,2:2:128:1:256:0:0:0:0:128:128,2:1:128:1:256:0:0:0:0:128:128
512,256,64,256,4,0.151,591.2,2:4:128:1:256:0:0:0:1:64:64,2:2:256:1:512:0:0:0:0:191:191,2:1:256:1:512:0:0:0:0:256:256
512,512,64,256,4,0.159,623.0,2:4:128:1:256:0:0:0:1:64:64,2:2:256:1:512:0:0:0:1:191:191,2:1:512:1:1024:0:0:0:0:446:446
512,128,128,256,3,0.150,585.2,2:2:128:1:256:0:0:0:0:128:128,2:1:128:1:256:0:0:0:0:128:128
512,256,128,256,3,0.158,616.8,2:2:256:1:512:0:0:0:0:128:128,2:1:256:1:512:0:0:0:0:256:256
512,512,128,256,3,0.158,617.8,2:2:256:1:512:0:0:0:1:128:128,2:1:512:1:1024:0:0:0:0:383:383
512,256,256,256,2,0.198,774.8,2:1:256:1:512:0:0:0:0:256:256
512,512,256,256,2,0.204,795.8,2:1:512:1:1024:0:0:0:0:256:256
512,512,512,256,1,0.332,1296.7
1024,102,8,256,8,0.267,1043.8,1:64:16:0:25:0:0:0:1:8:8,2:32:32:1:64:0:0:0:1:23:23,2:16:64:1:128:0:0:40:0:54:54,2:8:105:1:256:0:0:0:0:105:105,2:4:105:1:256:0:0:0:0:105:105,2:2:105:1:256:0:0:0:0:105:105,2:1:105:1:256:0:0:0:0:105:105
1024,256,8,256,8,0.277,1081.0,1:64:16:0:25:0:0:0:1:8:8,2:32:32:1:64:0:0:0:1:23:23,2:16:64:1:128:0:0:0:1:54:54,2:8:128:1:256:0:0:0:1:117:117,2:4:256:1:512:0:0:0:0:244:244,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,8,256,8,0.298,1165.9,1:64:16:0:25:0:0:0:1:8:8,2:32:32:1:64:0:0:0:1:23:23,2:16:64:1:128:0:0:0:1:54:54,2:8:128:1:256:0:0:0:1:117:117,2:4:256:1:512:0:0:0:1:244:244,2:2:512:1:1024:0:0:0:0:499:499,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,8,256,8,0.314,1228.0,1:64:16:0:25:0:0:0:1:8:8,2:32:32:1:64:0:0:0:1:23:23,2:16:64:1:128:0:0:0:1:54:54,2:8:128:1:256:0:0:0:1:117:117,2:4:256:1:512:0:0:0:1:244:244,2:2:512:1:1024:0:0:0:1:499:499,2:1:1024:1:2048:0:0:0:0:1010:1010
1024,102,16,256,7,0.238,929.8,2:32:32:1:64:0:0:0:1:16:16,2:16:64:1:128:0:0:40:0:47:47,2:8:105:1:256:0:0:0:0:105:105,2:4:105:1:256:0:0:0:0:105:105,2:2:105:1:256:0:0:0:0:105:105,2:1:105:1:256:0:0:0:0:105:105
1024,256,16,256,7,0.253,987.5,2:32:32:1:64:0:0:0:1:16:16,2:16:64:1:128:0:0:0:1:47:47,2:8:128:1:256:0:0:0:1:110:110,2:4:256:1:512:0:0:0:0:237:237,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,16,256,7,0.276,1077.4,2:32:32:1:64:0:0:0:1:16:16,2:16:64:1:128:0:0:0:1:47:47,2:8:128:1:256:0:0:0:1:110:110,2:4:256:1:512:0:0:0:1:237:237,2:2:512:1:1024:0:0:0:0:492:492,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,16,256,7,0.288,1124.7,2:32:32:1:64:0:0:0:1:16:16,2:16:64:1:128:0:0:0:1:47:47,2:8:128:1:256:0:0:0:1:110:110,2:4:256:1:512:0:0:0:1:237:237,2:2:512:1:1024:0:0:0:1:492:492,2:1:1024:1:2048:0:0:0:0:1003:1003
1024,102,32,256,6,0.231,901.9,2:16:64:1:128:0:0:30:0:32:32,2:8:105:1:256:0:0:0:0:95:95,2:4:105:1:256:0:0:0:0:105:105,2:2:105:1:256:0:0:0:0:105:105,2:1:105:1:256:0:0:0:0:105:105
1024,256,32,256,6,0.238,929.4,2:16:64:1:128:0:0:0:1:32:32,2:8:128:1:256:0:0:0:1:95:95,2:4:256:1:512:0:0:0:0:222:222,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,32,256,6,0.253,988.8,2:16:64:1:128:0:0:0:1:32:32,2:8:128:1:256:0:0:0:1:95:95,2:4:256:1:512:0:0:0:1:222:222,2:2:512:1:1024:0:0:0:0:477:477,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,32,256,6,0.274,1070.7,2:16:64:1:128:0:0:0:1:32:32,2:8:128:1:256:0:0:0:1:95:95,2:4:256:1:512:0:0:0:1:222:222,2:2:512:1:1024:0:0:0:1:477:477,2:1:1024:1:2048:0:0:0:0:988:988
1024,102,64,256,5,0.200,779.8,2:8:105:1:256:0:0:0:0:64:64,2:4:105:1:256:0:0:0:0:105:105,2:2:105:1:256:0:0:0:0:105:105,2:1:105:1:256:0:0:0:0:105:105
1024,256,64,256,5,0.221,864.6,2:8:128:1:256:0:0:0:1:64:64,2:4:256:1:512:0:0:0:0:191:191,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,64,256,5,0.246,960.9,2:8:128:1:256:0:0:0:1:64:64,2:4:256:1:512:0:0:0:1:191:191,2:2:512:1:1024:0:0:0:0:446:446,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,64,256,5,0.259,1010.6,2:8:128:1:256:0:0:0:1:64:64,2:4:256:1:512:0:0:0:1:191:191,2:2:512:1:1024:0:0:0:1:446:446,2:1:1024:1:2048:0:0:0:0:957:957
1024,256,128,256,4,0.233,908.8,2:4:256:1:512:0:0:0:0:128:128,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,128,256,4,0.260,1016.4,2:4:256:1:512:0:0:0:1:128:128,2:2:512:1:1024:0:0:0:0:383:383,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,128,256,4,0.270,1055.6,2:4:256:1:512:0:0:0:1:128:128,2:2:512:1:1024:0:0:0:1:383:383,2:1:1024:1:2048:0:0:0:0:894:894
1024,256,256,256,3,0.268,1045.5,2:2:256:1:512:0:0:0:0:256:256,2:1:256:1:512:0:0:0:0:256:256
1024,512,256,256,3,0.294,1148.0,2:2:512:1:1024:0:0:0:0:256:256,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,256,256,3,0.305,1189.5,2:2:512:1:1024:0:0:0:1:256:256,2:1:1024:1:2048:0:0:0:0:767:767
1024,512,512,256,2,0.414,1615.5,2:1:512:1:1024:0:0:0:0:512:512
1024,1024,512,256,2,0.430,1681.2,2:1:1024:1:2048:0:0:0:0:512:512
1024,1024,1024,256,1,0.835,3261.9
2048,204,8,256,9,0.456,1782.2,1:128:16:0:25:0:0:0:1:8:8,2:64:32:1:64:0:0:0:1:23:23,2:32:64:1:128:0:0:0:1:54:54,2:16:128:1:256:0:0:81:0:117:117,2:8:210:1:512:0:0:0:0:210:210,2:4:210:1:512:0:0:0:0:210:210,2:2:210:1:512:0:0:0:0:210:210,2:1:210:1:512:0:0:0:0:210:210
2048,512,8,256,9,0.508,1982.7,1:128:16:0:25:0:0:0:1:8:8,2:64:32:1:64:0:0:0:1:23:23,2:32:64:1:128:0:0:0:1:54:54,2:16:128:1:256:0:0:0:1:117:117,2:8:256:1:512:0:0:0:1:244:244,2:4:512:1:1024:0:0:0:0:499:499,2:2:512:1:1024:0:0:0:0:512:512,2:1:512:1:1024:0:0:0:0:512:512
2048,1024,8,256,9,0.555,2169.3,1:128:16:0:25:0:0:0:1:8:8,2:64:32:1:64:0:0:0:1:23:23,2:32:64:1:128:0:0:0:1:54:54,2:16:128:1:256:0:0:0:1:117:117,2:8:256:1:512:0:0:0:1:244:244,2:4:512:1:1024:0:0:0:1:499:499,2:2:1024:1:2048:0:0:0:0:1010:1010,2:1:1024:1:2048:0:0:0:0:1024:1024
2048,2048,8,256,9,0.603,2357.0,1:128:16:0:25:0:0:0:1:8:8,2:64:32:1:64:0:0:0:1:23:23,2:32:64:1:128:0:0:0:1:54:54,2:16:128:1:256:0:0:0:1:117:117,2:8:256:1:512:0:0:0:1:244:244,2:4:512:1:1024:0:0:0:1:499:499,2:2:1024:1:2048:0:0:0:1:1010:1010,3:1:2048:1:4096:0:0:0:0:2033:2033
2048,204,16,256,8,0.406,1586.3,2:64:32:1:64:0:0:0:1:16:16,2:32:64:1:128:0:0:0:1:47:47,2:16:128:1:256:0:0:81:0:110:110,2:8:210:1:512:0:0:0:0:210:210,2:4:210:1:512:0:0:0:0:210:210,2:2:210:1:512:0:0:0:0:210:210,2:1:210:1:512:0:0:0:0:210:210
2048,512,16,256,8,0.466,1820.6,2:64:32:1:64:0:0:0:1:16:16,2:32:64:1:128:0:0:0:1:47:47,2:16:128:1:256:0:0:0:1:110:110,2:8:256:1:512:0:0:0:1:237:237,2:4:512:1:1024:0:0:0:0:492:492,2:2:512:1:1024:0:0:0:0:512:512,2:1:512:1:1024:0:0:0:0:512:512
